,Area,Room,Parking,Warehouse,Elevator,Address,Price.USD.,New_address,unique.house.Address.,Dist
22,229,2,TRUE,TRUE,TRUE,Shahrake Shahid Bagheri,83333.33,dist22,ShahrAra,dist2
23,199,1,TRUE,TRUE,TRUE,Shahran,62666.67,dist5,Gisha,dist2
24,243,2,TRUE,TRUE,TRUE,Moniriyeh,75900,dist11,Ray,dist20
25,7,2,TRUE,TRUE,TRUE,Saadat Abad,238333.33,dist2,Abbasabad,dist7
26,62,3,TRUE,TRUE,TRUE,Velenjak,498166.67,dist1,Ostad Moein,dist9
27,217,2,TRUE,TRUE,TRUE,Amirieh,59033.33,dist11,Farmanieh,dist1
28,25,2,TRUE,TRUE,TRUE,Pirouzi,135300,dist13,Parand,other
29,12,2,TRUE,TRUE,TRUE,Southern Janatabad,21000,dist5,Punak,dist7
30,2,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,106666.67,dist5,Qasr-od-Dasht,dist10
31,232,2,FALSE,TRUE,FALSE,Salsabil,50000,dist10,Aqdasieh,dist1
32,177,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,73333.33,dist5,Pakdasht,other
33,240,2,TRUE,TRUE,TRUE,Zargandeh,262400,dist3,Railway,dist16
34,203,2,TRUE,TRUE,FALSE,Feiz Garden,78333.33,dist5,Central Janatabad,dist5
35,204,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,83333.33,dist5,East Ferdows Boulevard,dist5
36,195,1,TRUE,FALSE,TRUE,Water Organization,71666.67,dist5,Pakdasht KhatunAbad,other
37,185,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,71666.67,dist5,Sattarkhan,dist2
38,12,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,125000,dist5,Baghestan,other
39,31,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,175000,dist5,Shahryar,other
40,11,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,161000,dist5,Northern Janatabad,dist5
41,190,1,TRUE,TRUE,TRUE,Saadat Abad,113333.33,dist2,Daryan No,dist2
42,185,1,TRUE,TRUE,TRUE,Saadat Abad,128333.33,dist2,Southern Program Organization,dist5
43,52,2,FALSE,TRUE,TRUE,Shahrake Qods,40000,dist2,Rudhen,other
44,192,2,TRUE,TRUE,TRUE,,88333.33,#N/A,West Pars,dist4
45,32,3,TRUE,TRUE,FALSE,ShahrAra,166666.67,dist2,Afsarieh,dist15
46,230,2,TRUE,TRUE,TRUE,Gisha,158333.33,dist2,Marzdaran,dist2
47,180,1,TRUE,TRUE,TRUE,Gisha,99333.33,dist2,Dorous,dist3
48,15,3,TRUE,TRUE,FALSE,Shahrake Gharb,233333.33,dist2,Sadeghieh,dist2
49,12,2,TRUE,TRUE,TRUE,Ray,67833.33,dist20,Chahardangeh,other
50,192,1,TRUE,TRUE,TRUE,Abbasabad,82000,dist7,Baqershahr,other
51,242,2,TRUE,TRUE,TRUE,Pardis,18000,other,Jeyhoon,dist10
52,195,2,FALSE,FALSE,TRUE,Ostad Moein,48333.33,dist9,Lavizan,dist4
53,52,3,TRUE,TRUE,TRUE,Farmanieh,333333.33,dist1,Shams Abad,dist4
54,214,2,FALSE,FALSE,FALSE,Parand,21166.67,other,Fatemi,dist6
55,194,1,TRUE,TRUE,FALSE,Punak,67666.67,dist7,Keshavarz Boulevard,dist6
56,194,1,TRUE,TRUE,FALSE,Punak,67666.67,dist7,Kahrizak,dist20
57,211,2,TRUE,TRUE,TRUE,Shahran,78333.33,dist5,Qarchak,other
58,2,2,TRUE,TRUE,TRUE,Qasr-od-Dasht,1.00E+05,dist10,Northren Jamalzadeh,dist11
59,24,3,TRUE,TRUE,TRUE,Aqdasieh,240000,dist1,Azarbaijan,dist11
60,107,3,TRUE,TRUE,TRUE,Pakdasht,58333.33,other,Bahar,dist7
61,3,2,TRUE,TRUE,TRUE,Railway,110000,dist16,Persian Gulf Martyrs Lake,dist22
62,203,2,TRUE,TRUE,TRUE,Punak,93333.33,dist7,Beryanak,dist10
63,211,2,TRUE,TRUE,FALSE,Punak,73333.33,dist7,Heshmatieh,dist7
64,196,1,TRUE,TRUE,FALSE,Punak,73333.33,dist7,Elm-o-Sanat,dist3
65,214,2,TRUE,TRUE,FALSE,Punak,73333.33,dist7,Golestan,dist22
66,11,2,TRUE,TRUE,TRUE,Shahran,116666.67,dist5,Shahr-e-Ziba,dist5
67,24,2,TRUE,TRUE,TRUE,Aqdasieh,233333.33,dist1,Pasdaran,dist1
68,207,1,TRUE,TRUE,TRUE,Central Janatabad,103333.33,dist5,Chardivari,dist2
69,192,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,81666.67,dist5,Gheitarieh,dist1
70,182,1,TRUE,TRUE,FALSE,East Ferdows Boulevard,64000,dist5,Kamranieh,dist1
71,232,1,FALSE,TRUE,FALSE,Pakdasht KhatunAbad,28333.33,other,Gholhak,dist3
72,211,2,TRUE,TRUE,TRUE,Amirieh,55000,dist11,Heravi,dist4
73,213,2,TRUE,TRUE,TRUE,Amirieh,56666.67,dist11,Hashemi,dist10
74,230,3,FALSE,FALSE,TRUE,Parand,18666.67,other,Dehkade Olampic,dist22
75,196,1,TRUE,TRUE,TRUE,Punak,71666.67,dist7,Damavand,dist13
76,16,3,TRUE,TRUE,TRUE,Sattarkhan,183333.33,dist2,Republic,dist11
77,53,3,TRUE,TRUE,TRUE,Saadat Abad,340000,dist2,Zaferanieh,dist1
78,167,1,TRUE,FALSE,TRUE,Shahran,58666.67,dist5,Qazvin Imamzadeh Hassan,dist17
79,213,2,TRUE,TRUE,TRUE,Amirieh,56666.67,dist11,Niavaran,dist1
80,230,3,FALSE,FALSE,TRUE,Parand,18666.67,other,Valiasr,dist6
81,196,1,TRUE,TRUE,TRUE,Punak,71666.67,dist7,Qalandari,dist1
82,16,3,TRUE,TRUE,TRUE,Sattarkhan,183333.33,dist2,Amir Bahador,dist11
83,53,3,TRUE,TRUE,TRUE,Saadat Abad,340000,dist2,Ekhtiarieh,dist3
84,167,1,TRUE,FALSE,TRUE,Shahran,58666.67,dist5,Ekbatan,dist5
85,142,3,TRUE,TRUE,FALSE,Baghestan,50000,other,Absard,other
86,12,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,124333.33,dist5,Haft Tir,dist7
87,2,2,FALSE,FALSE,FALSE,Shahrake Qods,20666.67,dist2,Mahallati,dist1
88,42,1,FALSE,FALSE,FALSE,Shahryar,19333.33,other,Ozgol,dist1
89,207,2,TRUE,TRUE,TRUE,Northern Janatabad,101666.67,dist5,Tajrish,dist1
90,192,2,TRUE,TRUE,FALSE,West Ferdows Boulevard,66666.67,dist5,Abazar,dist5
91,216,2,TRUE,TRUE,TRUE,North Program Organization,86666.67,dist5,Koohsar,dist5
92,50,3,TRUE,TRUE,TRUE,Daryan No,199666.67,dist2,Hekmat,dist1
93,214,2,TRUE,TRUE,TRUE,North Program Organization,76666.67,dist5,Parastar,dist14
94,161,1,TRUE,TRUE,FALSE,Pirouzi,43333.33,dist13,Lavasan,other
95,199,2,TRUE,TRUE,TRUE,Southern Program Organization,75666.67,dist5,Majidieh,dist8
96,42,3,TRUE,TRUE,TRUE,Rudhen,133333.33,other,Southern Chitgar,dist21
97,12,2,TRUE,TRUE,TRUE,West Pars,133333.33,dist4,Karimkhan,dist6
98,207,2,TRUE,FALSE,TRUE,Afsarieh,55000,dist15,Si Metri Ji,dist12
99,30,3,TRUE,TRUE,TRUE,Marzdaran,223333.33,dist2,Karoon,dist10
100,238,2,TRUE,TRUE,TRUE,Parand,19333.33,other,Northern Chitgar,dist21
101,203,1,TRUE,TRUE,TRUE,Punak,76666.67,dist7,East Pars,dist8
102,214,1,TRUE,TRUE,TRUE,Shahrake Qods,21666.67,dist2,Kook,dist22
103,32,2,TRUE,TRUE,TRUE,Dorous,563333.33,dist3,Air force,dist13
104,161,0,FALSE,FALSE,FALSE,Shahrake Qods,8266.67,dist2,Sohanak,dist1
105,241,2,TRUE,TRUE,TRUE,Pardis,17000,other,Komeil,dist12
106,12,2,TRUE,TRUE,TRUE,Shahran,128333.33,dist5,Azadshahr,dist22
107,52,3,TRUE,TRUE,TRUE,Sadeghieh,2.00E+05,dist2,Zibadasht,dist22
108,214,2,FALSE,FALSE,FALSE,Chahardangeh,26000,other,Amirabad,dist6
109,39,3,TRUE,TRUE,TRUE,ShahrAra,240000,dist2,Dezashib,dist1
110,226,2,TRUE,TRUE,TRUE,Parand,13666.67,other,Elahieh,dist1
111,204,2,FALSE,TRUE,FALSE,Pakdasht,14333.33,other,Mirdamad,dist3
112,218,2,FALSE,TRUE,FALSE,Baqershahr,26666.67,other,Razi,dist11
113,226,2,TRUE,TRUE,TRUE,Parand,18166.67,other,Jordan,dist3
114,2,2,TRUE,TRUE,FALSE,Parand,42666.67,other,Mahmoudieh,dist1
115,210,2,TRUE,TRUE,TRUE,Punak,93333.33,dist7,Shahedshahr,other
116,42,3,TRUE,TRUE,TRUE,Gisha,373333.33,dist2,Yaftabad,dist18
117,38,3,TRUE,TRUE,FALSE,Parand,25000,other,Mehran,dist4
118,176,1,FALSE,FALSE,FALSE,Jeyhoon,28333.33,dist10,Nasim Shahr,other
119,2,2,TRUE,TRUE,TRUE,Lavizan,110000,dist4,Tenant,other
120,223,2,TRUE,FALSE,TRUE,Shams Abad,109333.33,dist4,Chardangeh,other
121,22,3,TRUE,TRUE,TRUE,Fatemi,160000,dist6,Fallah,dist17
122,41,3,TRUE,TRUE,TRUE,Gisha,243333.33,dist2,Eskandari,dist11
123,12,3,TRUE,TRUE,TRUE,Keshavarz Boulevard,131666.67,dist6,Shahrakeh Naft,dist5
124,218,2,FALSE,FALSE,TRUE,Parand,12333.33,other,Ajudaniye,dist1
125,219,2,FALSE,FALSE,FALSE,Baghestan,25000,other,Tehransar,dist21
126,201,2,TRUE,TRUE,TRUE,Salsabil,57500,dist10,Nawab,dist10
127,218,2,TRUE,TRUE,TRUE,Kahrizak,26000,dist20,Yousef Abad,dist6
128,226,2,TRUE,TRUE,TRUE,Shahryar,47300,other,Northern Suhrawardi,dist7
129,2,2,TRUE,TRUE,FALSE,Qarchak,40000,other,Villa,dist2
130,221,2,TRUE,TRUE,TRUE,Northren Jamalzadeh,120000,dist11,Hakimiyeh,dist4
131,170,1,TRUE,TRUE,FALSE,Salsabil,35000,dist10,Nezamabad,dist7
132,22,2,TRUE,TRUE,FALSE,Shahryar,40000,other,Garden of Saba,dist7
133,178,1,FALSE,TRUE,FALSE,Shahrake Qods,11333.33,dist2,Tarasht,dist2
134,23,3,TRUE,TRUE,FALSE,Ostad Moein,110000,dist9,Azari,dist17
135,221,2,TRUE,TRUE,TRUE,Azarbaijan,93333.33,dist11,Shahrake Apadana,dist5
136,207,2,FALSE,TRUE,TRUE,Bahar,40000,dist7,Araj,dist1
137,62,1,FALSE,FALSE,FALSE,Qarchak,2949.999,other,Vahidieh,dist8
138,161,0,FALSE,FALSE,FALSE,Pakdasht,5500,other,Malard,other
139,230,2,TRUE,TRUE,TRUE,Railway,95333.33,dist16,Shahrake Azadi,dist21
140,43,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,127000,dist22,Darband,dist1
141,42,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,59666.67,dist22,Vanak,dist3
142,22,2,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,51000,dist22,Tehran Now,dist13
143,201,2,FALSE,TRUE,FALSE,Beryanak,33333.33,dist10,Darabad,dist1
144,207,2,TRUE,TRUE,TRUE,Punak,116666.67,dist7,Eram,dist5
145,214,2,TRUE,FALSE,TRUE,Heshmatieh,1.00E+05,dist7,Atabak,dist15
146,207,2,FALSE,TRUE,TRUE,Elm-o-Sanat,60000,dist3,Sabalan,dist7
147,52,3,TRUE,TRUE,TRUE,Saadat Abad,666666.67,dist2,SabaShahr,other
148,239,2,TRUE,TRUE,TRUE,Golestan,31666.67,dist22,Shahrake Madaen,other
149,29,2,TRUE,TRUE,TRUE,Southern Janatabad,2.00E+05,dist5,Waterfall,dist22
150,25,3,TRUE,TRUE,TRUE,Shahr-e-Ziba,123333.33,dist5,Ahang,dist14
151,196,2,TRUE,TRUE,TRUE,Southern Janatabad,66666.67,dist5,Salehabad,other
152,232,2,TRUE,TRUE,TRUE,Punak,101666.67,dist7,Pishva,other
153,7,2,TRUE,TRUE,TRUE,Pardis,20166.67,other,Enghelab,dist11
154,80,3,TRUE,TRUE,TRUE,Pasdaran,330000,dist1,Islamshahr Elahieh,other
155,22,3,TRUE,FALSE,TRUE,Pirouzi,123333.33,dist13,Ray - Montazeri,dist20
156,199,2,TRUE,TRUE,TRUE,Feiz Garden,83333.33,dist5,Firoozkooh Kuhsar,other
157,60,3,TRUE,TRUE,TRUE,Farmanieh,349333.33,dist1,Ghoba,dist3
158,46,3,TRUE,TRUE,TRUE,Chardivari,254400,dist2,Mehrabad,dist9
159,46,3,TRUE,TRUE,TRUE,Punak,254400,dist7,Southern Suhrawardi,dist7
160,32,3,TRUE,TRUE,TRUE,Gheitarieh,410000,dist1,Abuzar,dist14
161,122,3,TRUE,TRUE,TRUE,Farmanieh,898333.33,dist1,Dolatabad,dist20
162,86,3,TRUE,TRUE,TRUE,Kamranieh,810000,dist1,Hor Square,dist11
163,196,2,TRUE,TRUE,TRUE,Central Janatabad,1.00E+05,dist5,Taslihat,dist8
164,214,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,70000,dist5,Kazemabad,dist4
165,230,2,TRUE,FALSE,TRUE,Gholhak,156666.67,dist3,Robat Karim,other
166,10,2,TRUE,TRUE,TRUE,Pasdaran,306000,dist1,Ray - Pilgosh,dist20
167,19,2,TRUE,TRUE,TRUE,Islamshahr,52650,other,Ghiyamdasht,other
168,95,3,TRUE,TRUE,TRUE,Pasdaran,4.00E+05,dist1,Telecommunication,dist2
169,199,1,TRUE,TRUE,FALSE,Pirouzi,58333.33,dist13,Mirza Shirazi,dist6
170,232,2,TRUE,TRUE,TRUE,Central Janatabad,126000,dist5,Gandhi,dist3
171,27,2,TRUE,TRUE,TRUE,Heravi,270000,dist4,Argentina,dist6
172,42,3,TRUE,TRUE,TRUE,Heravi,303333.33,dist4,Seyed Khandan,dist7
173,210,2,FALSE,TRUE,TRUE,Hashemi,51666.67,dist10,Shahrake Quds,dist2
174,210,2,FALSE,TRUE,TRUE,Jeyhoon,54666.67,dist10,Safadasht,other
175,119,4,TRUE,TRUE,TRUE,Gheitarieh,666666.67,dist1,Khademabad Garden,other
176,203,2,TRUE,TRUE,TRUE,Central Janatabad,91666.67,dist5,Hassan Abad,dist11
177,192,1,TRUE,TRUE,TRUE,Punak,58333.33,dist7,Chidz,dist1
178,109,3,TRUE,TRUE,TRUE,Heravi,513333.33,dist4,Khavaran,dist15
179,170,1,TRUE,TRUE,FALSE,Andisheh,11666.67,other,Boloorsazi,dist17
180,204,1,TRUE,TRUE,TRUE,Heravi,137166.67,dist4,Mehrabad River River,other
181,2,2,TRUE,TRUE,TRUE,Pasdaran,266666.67,dist1,Varamin - Beheshti,other
182,227,2,TRUE,TRUE,TRUE,Pardis,19333.33,other,Shoosh,dist15
183,225,2,TRUE,TRUE,TRUE,Pardis,18666.67,other,Thirteen November,dist20
184,238,2,TRUE,TRUE,TRUE,Heravi,160000,dist4,Darakeh,dist1
185,185,1,FALSE,TRUE,FALSE,West Ferdows Boulevard,51666.67,dist5,Aliabad South,dist16
186,15,2,TRUE,TRUE,TRUE,Saadat Abad,250000,dist2,Alborz Complex,dist1
187,210,2,TRUE,TRUE,TRUE,Islamshahr,21000,other,Firoozkooh,other
188,207,2,TRUE,TRUE,FALSE,Dehkade Olampic,66666.67,dist22,Vahidiyeh,dist8
189,95,3,TRUE,TRUE,TRUE,Golestan,80000,dist22,Shadabad,dist18
190,8,2,TRUE,TRUE,TRUE,Golestan,36666.67,dist22,Naziabad,dist16
191,147,4,TRUE,TRUE,TRUE,Saadat Abad,8.00E+05,dist2,Javadiyeh,dist16
192,16,2,TRUE,TRUE,TRUE,West Pars,127333.33,dist4,Yakhchiabad,dist16
193,2,2,TRUE,TRUE,TRUE,Punak,2.00E+05,dist7,,
194,24,2,TRUE,TRUE,TRUE,Saadat Abad,193333.33,dist2,,
195,95,2,TRUE,TRUE,FALSE,Damavand,116666.67,dist13,,
196,56,3,TRUE,TRUE,TRUE,Saadat Abad,410000,dist2,,
197,103,3,TRUE,TRUE,TRUE,Pasdaran,525000,dist1,,
198,95,3,TRUE,TRUE,TRUE,East Ferdows Boulevard,366666.67,dist5,,
199,199,1,TRUE,TRUE,TRUE,Southern Janatabad,1.00E+05,dist5,,
200,26,3,TRUE,TRUE,TRUE,Pirouzi,132266.67,dist13,,
201,224,2,TRUE,TRUE,TRUE,Republic,63633.33,dist11,,
202,132,4,TRUE,TRUE,TRUE,Farmanieh,1260000,dist1,,
203,6,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,190000,dist5,,
204,52,3,TRUE,TRUE,TRUE,Zaferanieh,349666.67,dist1,,
205,5,3,TRUE,TRUE,TRUE,West Ferdows Boulevard,106666.67,dist5,,
206,176,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,64000,dist5,,
207,67,3,TRUE,TRUE,TRUE,Gheitarieh,410000,dist1,,
208,37,2,TRUE,TRUE,FALSE,Gheitarieh,246666.67,dist1,,
209,227,2,TRUE,TRUE,TRUE,Saadat Abad,206666.67,dist2,,
210,214,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,78333.33,dist5,,
211,190,1,TRUE,TRUE,TRUE,East Ferdows Boulevard,61666.67,dist5,,
212,27,2,TRUE,TRUE,TRUE,Shahrake Gharb,716666.67,dist2,,
213,223,2,TRUE,TRUE,TRUE,Qazvin Imamzadeh Hassan,62866.67,dist17,,
214,190,2,TRUE,TRUE,TRUE,Shahran,73333.33,dist5,,
215,3,2,TRUE,TRUE,TRUE,Beryanak,77433.33,dist10,,
216,232,2,TRUE,TRUE,TRUE,Niavaran,226666.67,dist1,,
217,80,3,TRUE,TRUE,TRUE,Farmanieh,690000,dist1,,
218,34,3,TRUE,TRUE,TRUE,Gheitarieh,208333.33,dist1,,
219,222,2,TRUE,TRUE,TRUE,Valiasr,62100,dist6,,
220,55,3,TRUE,TRUE,TRUE,Pasdaran,433333.33,dist1,,
221,68,3,TRUE,TRUE,TRUE,Qalandari,416666.67,dist1,,
222,95,3,TRUE,TRUE,TRUE,Pasdaran,566666.67,dist1,,
223,15,2,TRUE,TRUE,TRUE,Pasdaran,283333.33,dist1,,
224,2,2,TRUE,TRUE,TRUE,Valiasr,76666.67,dist6,,
225,221,2,TRUE,TRUE,TRUE,Central Janatabad,111666.67,dist5,,
226,216,2,TRUE,TRUE,TRUE,Jeyhoon,66666.67,dist10,,
227,30,3,TRUE,TRUE,TRUE,Punak,190000,dist7,,
228,103,3,TRUE,TRUE,TRUE,Shahrake Gharb,9.00E+05,dist2,,
229,42,2,TRUE,TRUE,TRUE,Shahrake Gharb,420000,dist2,,
230,213,2,TRUE,TRUE,TRUE,Amir Bahador,56733.33,dist11,,
231,214,1,TRUE,TRUE,TRUE,Central Janatabad,1.00E+05,dist5,,
232,22,2,TRUE,TRUE,TRUE,Pasdaran,250000,dist1,,
233,22,2,TRUE,TRUE,TRUE,Pasdaran,250000,dist1,,
234,226,2,TRUE,TRUE,TRUE,Ekhtiarieh,166666.67,dist3,,
235,7,2,TRUE,TRUE,TRUE,Pardis,23333.33,other,,
236,76,3,TRUE,TRUE,TRUE,Farmanieh,520000,dist1,,
237,71,3,TRUE,TRUE,TRUE,Farmanieh,511666.67,dist1,,
238,190,1,TRUE,TRUE,TRUE,Ekbatan,93666.67,dist5,,
239,214,2,TRUE,TRUE,TRUE,Parand,13166.67,other,,
240,62,3,TRUE,TRUE,TRUE,Gheitarieh,503333.33,dist1,,
241,195,1,TRUE,TRUE,TRUE,Shahran,61666.67,dist5,,
242,237,2,TRUE,TRUE,TRUE,Rudhen,48333.33,other,,
243,214,2,TRUE,TRUE,TRUE,Islamshahr,23833.33,other,,
244,227,2,TRUE,TRUE,FALSE,Islamshahr,40000,other,,
245,22,2,TRUE,TRUE,TRUE,Southern Program Organization,142000,dist5,,
246,239,2,TRUE,TRUE,TRUE,Andisheh,50000,other,,
247,207,2,TRUE,TRUE,FALSE,West Ferdows Boulevard,70666.67,dist5,,
248,214,2,TRUE,TRUE,FALSE,East Ferdows Boulevard,66666.67,dist5,,
249,222,2,TRUE,FALSE,TRUE,Pardis,19666.67,other,,
250,199,1,TRUE,TRUE,FALSE,West Ferdows Boulevard,64333.33,dist5,,
251,214,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,91000,dist5,,
252,8,2,TRUE,TRUE,FALSE,East Ferdows Boulevard,105000,dist5,,
253,17,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,153333.33,dist5,,
254,2,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,1.00E+05,dist5,,
255,20,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,150000,dist5,,
256,18,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,170000,dist5,,
257,216,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,73333.33,dist5,,
258,213,2,TRUE,TRUE,FALSE,East Ferdows Boulevard,76666.67,dist5,,
259,240,2,TRUE,TRUE,TRUE,Saadat Abad,150000,dist2,,
260,229,2,TRUE,TRUE,TRUE,Pardis,20833.33,other,,
261,169,1,TRUE,TRUE,FALSE,Northern Janatabad,54000,dist5,,
262,57,3,TRUE,TRUE,TRUE,Niavaran,568333.33,dist1,,
263,182,1,TRUE,TRUE,TRUE,East Ferdows Boulevard,64000,dist5,,
264,62,3,TRUE,TRUE,TRUE,Farmanieh,586666.67,dist1,,
265,218,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,75000,dist5,,
266,115,3,TRUE,TRUE,TRUE,Niavaran,843333.33,dist1,,
267,185,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,61666.67,dist5,,
268,22,2,TRUE,TRUE,FALSE,Saadat Abad,390000,dist2,,
269,218,2,TRUE,TRUE,TRUE,Southern Janatabad,120000,dist5,,
270,239,2,TRUE,TRUE,TRUE,Southern Janatabad,146666.67,dist5,,
271,71,3,TRUE,TRUE,TRUE,Gheitarieh,513333.33,dist1,,
272,76,3,TRUE,TRUE,TRUE,Shahrake Gharb,758333.33,dist2,,
273,17,3,TRUE,TRUE,TRUE,Punak,150000,dist7,,
274,15,2,TRUE,TRUE,TRUE,Punak,143333.33,dist7,,
275,226,2,TRUE,TRUE,TRUE,Punak,112666.67,dist7,,
276,42,3,TRUE,TRUE,TRUE,Saadat Abad,333333.33,dist2,,
277,232,2,TRUE,TRUE,TRUE,Saadat Abad,216666.67,dist2,,
278,196,1,TRUE,FALSE,FALSE,Punak,73333.33,dist7,,
279,214,2,TRUE,TRUE,TRUE,Central Janatabad,107333.33,dist5,,
280,32,3,TRUE,TRUE,TRUE,Punak,208000,dist7,,
281,234,2,TRUE,TRUE,TRUE,Punak,111666.67,dist7,,
282,23,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,121666.67,dist22,,
283,42,3,TRUE,TRUE,TRUE,Saadat Abad,516666.67,dist2,,
284,28,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,183333.33,dist5,,
285,172,2,TRUE,TRUE,FALSE,Absard,140000,other,,
286,179,2,TRUE,TRUE,FALSE,Absard,130000,other,,
287,12,1,TRUE,TRUE,TRUE,Pasdaran,220000,dist1,,
288,47,3,TRUE,TRUE,TRUE,Haft Tir,156666.67,dist7,,
289,222,2,TRUE,TRUE,TRUE,Shahrake Qods,27000,dist2,,
290,198,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,73333.33,dist5,,
291,14,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,122666.67,dist5,,
292,88,3,TRUE,TRUE,TRUE,Marzdaran,422333.33,dist2,,
293,66,3,TRUE,TRUE,TRUE,Marzdaran,333333.33,dist2,,
294,37,3,TRUE,TRUE,TRUE,Pasdaran,270000,dist1,,
295,71,3,TRUE,TRUE,TRUE,Mahallati,306666.67,dist1,,
296,32,3,TRUE,TRUE,TRUE,Mahallati,173333.33,dist1,,
297,225,2,TRUE,TRUE,TRUE,Shahran,113333.33,dist5,,
298,223,2,TRUE,TRUE,TRUE,Shahran,118333.33,dist5,,
299,131,3,TRUE,TRUE,TRUE,Farmanieh,666666.67,dist1,,
300,192,1,TRUE,TRUE,TRUE,Southern Janatabad,65000,dist5,,
301,47,3,TRUE,TRUE,TRUE,Pasdaran,516666.67,dist1,,
302,199,1,FALSE,TRUE,TRUE,Southern Janatabad,66666.67,dist5,,
303,192,1,TRUE,TRUE,FALSE,Southern Janatabad,76000,dist5,,
304,196,2,TRUE,TRUE,TRUE,Southern Janatabad,66666.67,dist5,,
305,207,2,TRUE,TRUE,TRUE,Southern Janatabad,65000,dist5,,
306,235,2,TRUE,TRUE,TRUE,Feiz Garden,130000,dist5,,
307,242,2,TRUE,TRUE,TRUE,Pasdaran,260000,dist1,,
308,195,1,TRUE,TRUE,TRUE,Southern Janatabad,76000,dist5,,
309,199,1,TRUE,TRUE,TRUE,Punak,96666.67,dist7,,
310,232,2,TRUE,TRUE,TRUE,Ozgol,166666.67,dist1,,
311,191,2,TRUE,TRUE,TRUE,Southern Janatabad,63333.33,dist5,,
312,196,2,TRUE,TRUE,TRUE,Southern Janatabad,66666.67,dist5,,
313,192,2,TRUE,TRUE,TRUE,Southern Janatabad,73333.33,dist5,,
314,207,2,TRUE,TRUE,TRUE,Southern Janatabad,83333.33,dist5,,
315,192,1,TRUE,TRUE,TRUE,Southern Janatabad,73333.33,dist5,,
